# dataset: GeoCSV 2.0
# delimiter: ,
# SID: IU_HRV_00_BHZ
# sample_count: 2400
# sample_rate_hz: 20
# start_time: 2020-11-08T14:10:00.019538Z
# latitude_deg: 42.5064
# longitude_deg: -71.5583
# elevation_m: 200.0
# depth_m: 0.0
# azimuth_deg: 0.0
# dip_deg: -90
# instrument: Streckeisen STS-1VBB w/E300
# scale_factor: 4.24828E9
# scale_frequency_hz: 0.05
# scale_units: m/s
# field_unit: UTC, Counts
# field_type: datetime, INTEGER
Time, Sample
2020-11-08T14:10:06.669538Z, 6347
2020-11-08T14:10:06.719538Z, 6289
2020-11-08T14:10:06.769538Z, 6222
2020-11-08T14:10:06.819538Z, 6180
2020-11-08T14:10:06.869538Z, 6182
2020-11-08T14:10:06.919538Z, 6152
2020-11-08T14:10:06.969538Z, 6088
2020-11-08T14:10:07.019538Z, 6011
2020-11-08T14:10:07.069538Z, 5930
2020-11-08T14:10:07.119538Z, 5850
2020-11-08T14:10:07.169538Z, 5726
2020-11-08T14:10:07.219538Z, 5562
2020-11-08T14:10:07.269538Z, 5399
2020-11-08T14:10:07.319538Z, 5296
2020-11-08T14:10:07.369538Z, 5099
2020-11-08T14:10:07.419538Z, 4882
2020-11-08T14:10:07.469538Z, 4784
2020-11-08T14:10:07.519538Z, 4577
2020-11-08T14:10:07.569538Z, 4366
2020-11-08T14:10:07.619538Z, 4202
2020-11-08T14:10:07.669538Z, 3972
2020-11-08T14:10:07.719538Z, 3807
2020-11-08T14:10:07.769538Z, 3692
2020-11-08T14:10:07.819538Z, 3547
2020-11-08T14:10:07.869538Z, 3447
2020-11-08T14:10:07.919538Z, 3296
2020-11-08T14:10:07.969538Z, 3226
2020-11-08T14:10:08.019538Z, 3184
2020-11-08T14:10:08.069538Z, 3063
2020-11-08T14:10:08.119538Z, 3128
2020-11-08T14:10:08.169538Z, 3130
2020-11-08T14:10:08.219538Z, 3129
2020-11-08T14:10:08.269538Z, 3127
2020-11-08T14:10:08.319538Z, 3151
2020-11-08T14:10:08.369538Z, 3196
2020-11-08T14:10:08.419538Z, 3164
2020-11-08T14:10:08.469538Z, 3319
2020-11-08T14:10:08.519538Z, 3361
2020-11-08T14:10:08.569538Z, 3474
2020-11-08T14:10:08.619538Z, 3566
2020-11-08T14:10:08.669538Z, 3535
2020-11-08T14:10:08.719538Z, 3752
2020-11-08T14:10:08.769538Z, 3808
2020-11-08T14:10:08.819538Z, 3792
2020-11-08T14:10:08.869538Z, 3912
2020-11-08T14:10:08.919538Z, 3887
2020-11-08T14:10:08.969538Z, 3871
2020-11-08T14:10:09.019538Z, 4107
2020-11-08T14:10:09.069538Z, 4307
2020-11-08T14:10:09.119538Z, 4334
2020-11-08T14:10:09.169538Z, 4450
2020-11-08T14:10:09.219538Z, 4630
2020-11-08T14:10:09.269538Z, 4772
2020-11-08T14:10:09.319538Z, 4869
2020-11-08T14:10:09.369538Z, 4973
2020-11-08T14:10:09.419538Z, 5121
2020-11-08T14:10:09.469538Z, 5259
2020-11-08T14:10:09.519538Z, 5347
2020-11-08T14:10:09.569538Z, 5280
2020-11-08T14:10:09.619538Z, 5329
2020-11-08T14:10:09.669538Z, 5435
2020-11-08T14:10:09.719538Z, 5393
2020-11-08T14:10:09.769538Z, 5506
2020-11-08T14:10:09.819538Z, 5544
2020-11-08T14:10:09.869538Z, 5524
2020-11-08T14:10:09.919538Z, 5511
2020-11-08T14:10:09.969538Z, 5447
